Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Hwang Po-Wie, Chen Yung-Sheng, Cheng Fang-Hsuan, Hsu Wen-Hsing",Color recovery from biased illumination: color constancy,1993,IEEE Computer Vision and Pattern Recognition,,,,631,632,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027835831&partnerID=40&md5=6a18322e19e0aacc0159dd08e05c8219,"Natl Tsing-Hua Univ, Hsinchu, Taiwan","Hwang, Po-Wie, Natl Tsing-Hua Univ, Hsinchu, Taiwan; Chen, Yung-Sheng, Natl Tsing-Hua Univ, Hsinchu, Taiwan; Cheng, Fang-Hsuan, Natl Tsing-Hua Univ, Hsinchu, Taiwan; Hsu, Wen-Hsing, Natl Tsing-Hua Univ, Hsinchu, Taiwan",Conference Paper,Scopus,2-s2.0-0027835831
"Polana Ramprasad, Nelson Randal",Detecting activities,1993,IEEE Computer Vision and Pattern Recognition,,,,2,7,,42,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027882051&partnerID=40&md5=25b43acd8bf506343f4b09f1c819c443,"Univ of Rochester, Rochester, United States","Polana, Ramprasad, Univ of Rochester, Rochester, United States; Nelson, Randal, Univ of Rochester, Rochester, United States",Conference Paper,Scopus,2-s2.0-0027882051
"Califano Andrea, Mohan Rakesh",Systematic design of indexing strategies for object recognition,1993,IEEE Computer Vision and Pattern Recognition,,,,709,710,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027850092&partnerID=40&md5=21fcd50d0b4ade034b84db686e719a0e,"IBM, Yorktown Heights, United States","Califano, Andrea, IBM, Yorktown Heights, United States; Mohan, Rakesh, IBM, Yorktown Heights, United States",Conference Paper,Scopus,2-s2.0-0027850092
"Xiong Yalin, Shafer Steven A.",Depth from focusing and defocusing,1993,IEEE Computer Vision and Pattern Recognition,,,,68,73,,100,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027847331&partnerID=40&md5=bdb75514e7895c615935d9efdd05f217,"Carnegie Mellon Univ, Pittsburgh, United States","Xiong, Yalin, Carnegie Mellon Univ, Pittsburgh, United States; Shafer, Steven A., Carnegie Mellon Univ, Pittsburgh, United States",Conference Paper,Scopus,2-s2.0-0027847331
"Ungureanu D.O., Proesmans M., Van Gool L., Oosterlinck A., Zegers J., Decaluwe J.",Real time edge linker,1993,IEEE Computer Vision and Pattern Recognition,,,,793,794,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027802675&partnerID=40&md5=95d361f47eb5a2f18b0b450df5aa6287,"Katholieke Univ Leuven, Heverlee, Bulgaria","Ungureanu, D.O., Katholieke Univ Leuven, Heverlee, Bulgaria; Proesmans, M., Katholieke Univ Leuven, Heverlee, Bulgaria; Van Gool, L., Katholieke Univ Leuven, Heverlee, Bulgaria; Oosterlinck, A., Katholieke Univ Leuven, Heverlee, Bulgaria; Zegers, J., Katholieke Univ Leuven, Heverlee, Bulgaria; Decaluwe, J., Katholieke Univ Leuven, Heverlee, Bulgaria",Conference Paper,Scopus,2-s2.0-0027802675
"Lu Hongjiu, Flynn Patrick J.",Ground state texture patterns for the second-order Ising model,1993,IEEE Computer Vision and Pattern Recognition,,,,636,637,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027885472&partnerID=40&md5=9de0d0a6550fefa794c3a4c81d769de9,"Washington State Univ, Pullman, United States","Lu, Hongjiu, Washington State Univ, Pullman, United States; Flynn, Patrick J., Washington State Univ, Pullman, United States",Conference Paper,Scopus,2-s2.0-0027885472
"Szeliski Richard, Kang Sing Bing",Recovering 3D shape and motion from image streams using non-linear least squares,1993,IEEE Computer Vision and Pattern Recognition,,,,752,753,,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027804422&partnerID=40&md5=793b202632251ffa361e01f13de337d9,"Digital Equipment Corp, Cambridge, United States","Szeliski, Richard, Digital Equipment Corp, Cambridge, United States; Kang, Sing Bing, Digital Equipment Corp, Cambridge, United States",Conference Paper,Scopus,2-s2.0-0027804422
"Zerroug Mourad, Nevatia Ramakant","Quasi-invariant properties and 3-D shape recovery of non-straight, non-constant generalized cylinders",1993,IEEE Computer Vision and Pattern Recognition,,,,96,103,,15,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027835822&partnerID=40&md5=2483aecefc38550d7e74fb4975ae98bc,"Univ of Southern California, Los Angeles, United States","Zerroug, Mourad, Univ of Southern California, Los Angeles, United States; Nevatia, Ramakant, Univ of Southern California, Los Angeles, United States",Conference Paper,Scopus,2-s2.0-0027835822
Unser Michael,Texture discrimination using wavelets,1993,IEEE Computer Vision and Pattern Recognition,,,,640,641,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027836458&partnerID=40&md5=b41ea2b7a67b03c1ef9bbf654e426d0a,"Natl Inst of Health, Bethesda, United States","Unser, Michael, Natl Inst of Health, Bethesda, United States",Conference Paper,Scopus,2-s2.0-0027836458
"Monga Olivier, Benayoun Serge",Using differential geometry in R4 to extract typical features in 3D images,1993,IEEE Computer Vision and Pattern Recognition,,,,684,685,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027886489&partnerID=40&md5=82d7f235641cf4f1c2d8e35bd8bd0583,"INRIA, Le Chesnay, France","Monga, Olivier, INRIA, Le Chesnay, France; Benayoun, Serge, INRIA, Le Chesnay, France",Conference Paper,Scopus,2-s2.0-0027886489
"Zabrodsky H., Peleg S., Avnir D.",Completion of occluded shapes using symmetry,1993,IEEE Computer Vision and Pattern Recognition,,,,678,679,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027836473&partnerID=40&md5=ea1da023605f5eac032bbd6bf9403b07,"Hebrew Univ of Jerusalem, Jerusalem, Israel","Zabrodsky, H., Hebrew Univ of Jerusalem, Jerusalem, Israel; Peleg, S., Hebrew Univ of Jerusalem, Jerusalem, Israel; Avnir, D., Hebrew Univ of Jerusalem, Jerusalem, Israel",Conference Paper,Scopus,2-s2.0-0027836473
"Das Subhodev, Ahuja Narendra","Comparative study of stereo, vergence, and focus as depth cues for active vision",1993,IEEE Computer Vision and Pattern Recognition,,,,194,199,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027882054&partnerID=40&md5=73573cc07cda88913e1a2a3a492eac6a,"Univ of California, Riverside, United States","Das, Subhodev, Univ of California, Riverside, United States; Ahuja, Narendra, Univ of California, Riverside, United States",Conference Paper,Scopus,2-s2.0-0027882054
"Hartley Richard, Gupta Rajiv",Computing matched-epipolar projections,1993,IEEE Computer Vision and Pattern Recognition,,,,549,555,,36,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027850070&partnerID=40&md5=13966a4757a29a891faafa488c6a4107,"GE - Corp Research and Development, Schenectady, United States","Hartley, Richard, GE - Corp Research and Development, Schenectady, United States; Gupta, Rajiv, GE - Corp Research and Development, Schenectady, United States",Conference Paper,Scopus,2-s2.0-0027850070
"Pipitone Frank, Adams William",Rapid recognition of freeform objects in noisy range images using tripod operators,1993,IEEE Computer Vision and Pattern Recognition,,,,715,716,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027886490&partnerID=40&md5=4149f010ef9bdf4bc0b0f3b7dada9af7,"Naval Research Lab, Washington, United States","Pipitone, Frank, Naval Research Lab, Washington, United States; Adams, William, Naval Research Lab, Washington, United States",Conference Paper,Scopus,2-s2.0-0027886490
"Sandini G., Gandolfo F., Metta G., Oddera A.",Role of vision in two-arms manipulation,1993,IEEE Computer Vision and Pattern Recognition,,,,622,624,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027801987&partnerID=40&md5=a9fc146b58552e9eeb6db49ce624dd56,"DIST Univ of Genoa, Italy","Sandini, G., DIST Univ of Genoa, Italy; Gandolfo, F., DIST Univ of Genoa, Italy; Metta, G., DIST Univ of Genoa, Italy; Oddera, A., DIST Univ of Genoa, Italy",Conference Paper,Scopus,2-s2.0-0027801987
"Chou Kae-Jy, Schunck Brian G.",Quadratic filter and feature detection,1993,IEEE Computer Vision and Pattern Recognition,,,,692,693,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027885485&partnerID=40&md5=121bea96f4d2ba55fb1df0d9f7967818,"Univ of Michigan, Ann Arbor, United States","Chou, Kae-Jy, Univ of Michigan, Ann Arbor, United States; Schunck, Brian G., Univ of Michigan, Ann Arbor, United States",Conference Paper,Scopus,2-s2.0-0027885485
Laurentini Aldo,Inferring the shape of the real object from the object reconstructed by volume intersection,1993,IEEE Computer Vision and Pattern Recognition,,,,280,285,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027811669&partnerID=40&md5=aa0b568d63fbbbf4f1b31120a2130e56,"Politecnico di Torino, Torino, Italy","Laurentini, Aldo, Politecnico di Torino, Torino, Italy",Conference Paper,Scopus,2-s2.0-0027811669
